product_name,product_price,product_data,product_rateing,img_link
"Sony WH-CH710N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset with Mic for Phone-Call, 35 Hours Battery Life, Quick Charge and Google Assitant - Black","7,990"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61N6Ai7RkJL._AC_UY218_.jpg
"Boult Audio ProBass FluidX Over-Ear Unbreakable Wireless Bluetooth Headphones with Microphone, Headset with Passive Noise Cancellation & Long Battery Life","1,099",FREE Delivery by Amazon,3.5 out of 5 stars.,https://m.media-amazon.com/images/I/81BrGPH+g1L._AC_UY218_.jpg
"MYXR+ Active Noise Cancelling(ANC) Wireless Headphones MX36 (Platinum) : 50 Hours Battery, Qualcomm 5.0 Bluetooth Chip, Type-C Fast Charging","6,499"," Get it by Saturday, June 26FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71012pZfQlL._AC_UY218_.jpg
"Logitech H110 Wired headset, Stereo Headphones with noise-cancelling Microphone,3.5-mm Dual Audio Jack, PC/Mac/Laptop- Grey",749," Get it by Thursday, June 24FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/61IWe1ZAgcL._AC_UY218_.jpg
"ONKARONUS MDR-XB450 Wired Extra Bass On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls (Blue)",319.,"Get it Saturday, June 26 - Sunday, June 27FREE Delivery",3.8 out of 5 stars,https://m.media-amazon.com/images/I/31u3Dp702fS._AC_UY218_.jpg
Heypex SH-12 Wireless Portable Bluetooth V4.2 Over The Ear Headphone Comes with SD/FM/AUX & Inbuilt Mic for All Devices (Multi-Colour),499,"Get it Saturday, June 26 - Sunday, June 27₹80 shipping",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51fZ8ZeW5TL._AC_UY218_.jpg
"boAt Rockerz 370 Wireless Headphone with Bluetooth 5.0, Immersive Audio, Lightweight Ergonomic Design, Cosy Padded Earcups and Up to 12H Playback Bliss(Gregarious Green)",999," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61I3R2ioAlL._AC_UY218_.jpg
iBall Kids Diva Wired Headphone with in line Volume Controller (Violet and Pink),649," Get it by Friday, June 25FREE Delivery by Amazon",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71IPlO9Rl0L._AC_UY218_.jpg
Praxan PJ-47 Wireless Portable & Foldable Bluetooth Sports Headphone with Microphone | Aux | USB Rechargeable | Soft Ear-Cushions and SD Card Support Compatible with All Devices (Random Color),499," Get it by Friday, June 25FREE Delivery by Amazon",3.4 out of 5 stars,https://m.media-amazon.com/images/I/414fU2wd8xL._AC_UY218_.jpg
Jecool SH12 Wireless Bluetooth Headphone for Mobile with Mic with FM and SD Card Slot with Music and Calling Controls (Green),499," Get it by Saturday, June 26FREE Delivery",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51ViAUowt4L._AC_UY218_.jpg
"Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic",749, FREE Delivery by Amazon,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51j4zZ9eQSL._AC_UY218_.jpg
"Boult Audio ProBass Thunder Over-Ear Wireless Bluetooth Headphones with Mic, Headset with Passive Noise Cancellation & Long Battery Life","1,199"," Get it by Friday, June 25FREE Delivery by Amazon",5.0 out of 5 stars,https://m.media-amazon.com/images/I/81bgqR0BQhL._AC_UY218_.jpg
Zebronics Zeb-Bang Bluetooth Headphone with Voice Assistant (Orange),849," Get it by Tomorrow, June 22FREE Delivery by Amazon",2.2 out of 5 stars,https://m.media-amazon.com/images/I/71YDoi-vKYL._AC_UY218_.jpg
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black & Red)",599," Get it by Friday, June 25FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/516P6a3hxXS._AC_UY218_.jpg
boAt Bassheads 225 in Ear Wired Earphones with Mic(Black),549, FREE Delivery by Amazon,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UY218_.jpg
boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),549," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61fFdoB6VzL._AC_UY218_.jpg
"Boult Audio ProBass CurvePro Bluetooth Neckband with Vibration Alert for Calls, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Grey)","1,199"," Get it by Friday, June 25FREE Delivery by Amazon",3.5 out of 5 stars,https://m.media-amazon.com/images/I/71bOBMl3+sL._AC_UY218_.jpg
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),399," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UY218_.jpg
Cosmic Byte Over the Ear Headsets with Mic & LED - G4000 Edition (Blue),"1,099"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51LmzwpcHhL._AC_UY218_.jpg
"Sony WI-C200 Wireless In-Ear Headphones with 15 Hours Battery Life, Quick Charge, Magnetic Earbuds for Tangle Free Carrying,Metallic Finish, Bluetooth ver 5.0, Headset with mic for phone calls (Black)","1,699"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61ECm9HL6FL._AC_UY218_.jpg
"Infinity Glide 510 by Harman (JBL, HK, Infinity), 72 Hrs Playtime with Quick Charge, Wireless On Ear Headphone with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support (Black)","1,699"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/716Il5U5F4L._AC_UY218_.jpg
"Boult Audio ProBass Flex Over-Ear Wireless Bluetooth Headphones with Mic & Extra Bass, Headset with Wired Connectivity Option & Long Battery Life","1,199",FREE Delivery by Amazon,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71AD5iVm62L._AC_UY218_.jpg
"Sony WH-CH710N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset with Mic for Phone-Call, 35 Hours Battery Life, Quick Charge and Google Assitant - Black","7,990"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61N6Ai7RkJL._AC_UY218_.jpg
"Boult Audio ProBass FluidX Over-Ear Unbreakable Wireless Bluetooth Headphones with Microphone, Headset with Passive Noise Cancellation & Long Battery Life","1,099",FREE Delivery by Amazon,3.5 out of 5 stars.,https://m.media-amazon.com/images/I/81BrGPH+g1L._AC_UY218_.jpg
"MYXR+ Active Noise Cancelling(ANC) Wireless Headphones MX36 (Platinum) : 50 Hours Battery, Qualcomm 5.0 Bluetooth Chip, Type-C Fast Charging","6,499"," Get it by Saturday, June 26FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71012pZfQlL._AC_UY218_.jpg
"Boult Audio ProBass CurvePro Bluetooth Neckband with Vibration Alert for Calls, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Grey)","1,199"," Get it by Friday, June 25FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71bOBMl3+sL._AC_UY218_.jpg
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),399," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UY218_.jpg
